Feb 21 	awayTeamLogo CAR 	L 3-4 	L -107 	O 6 -105 	J. Reimer 	P. Mrazek
Feb 19 	awayTeamLogo BUF 	W 4-2 	W -149 	P 6 	J. Reimer 	L. Ullmark
Feb 17 	awayTeamLogo MON 	W 6-3 	W -130 	O 6 100 	J. Reimer 	C. Price
Feb 14 	awayTeamLogo CAL 	W 3-2 (SO) 	W +118 	U 6.5 -105 	J. Reimer 	M. Smith
Feb 12 	awayTeamLogo DAL 	L 0-3 	L -115 	U 5.5 -105 	R. Luongo 	A. Khudobin
Feb 10 	awayTeamLogo TB 	L 2-5 	L +113 	O 6.5 -116 	J. Reimer 	L. Domingue
Feb 9 	awayTeamLogo @ WAS 	W 5-4 (OT) 	W +140 	O 6.5 100 	R. Luongo 	B. Holtby
Feb 7 	awayTeamLogo PIT 	W 3-2 (OT) 	W +100 	U 6.5 -125 	R. Luongo 	C. DeSmith
Feb 5 	awayTeamLogo STL 	L 2-3 	L -105 	U 6 -120 	J. Reimer 	J. Binnington
Feb 2 	awayTeamLogo VEG 	W 3-1 	W +125 	U 6 -120 	J. Reimer 	M. Fleury
Feb 1 	awayTeamLogo NAS 	L 1-4 	L +100 	U 6 -115 	R. Luongo 	J. Saros
Jan 21 	awayTeamLogo SJ 	W 6-2 	W +102 	O 6.5 104 	R. Luongo 	M. Jones
Jan 19 	awayTeamLogo @ NAS 	W 4-2 	W +180 	P 6 	J. Reimer 	J. Saros
Jan 18 	awayTeamLogo TOR 	W 3-1 	W +115 	U 6.5 -125 	R. Luongo 	G. Sparks
Jan 15 	awayTeamLogo @ MON 	L 1-5 	L +100 	U 6.5 103 	J. Reimer 	A. Niemi
Jan 13 	awayTeamLogo @ VAN 	L 1-5 	L -115 	P 6 	R. Luongo 	J. Markstrom
Jan 11 	awayTeamLogo @ CAL 	L 3-4 	L +188 	O 6.5 105 	R. Luongo 	D. Rittich
Jan 10 	awayTeamLogo @ EDM 	L 3-4 (SO) 	L +100 	O 6 -105 	J. Reimer 	C. Talbot
Jan 8 	awayTeamLogo @ PIT 	L 1-5 	L +150 	U 6.5 -132 	R. Luongo 	M. Murray
Jan 5 	awayTeamLogo CLB 	L 3-4 (OT) 	L -120 	O 6.5 -111 	J. Reimer 	S. Bobrovsky
Jan 3 	awayTeamLogo @ BUF 	L 3-4 	L -121 	O 6 105 	R. Luongo 	L. Ullmark
Dec 31 	awayTeamLogo @ DET 	W 4-3 (SO) 	W -125 	O 6 -124 	J. Reimer 	J. Howard
Dec 29 	awayTeamLogo PHI 	W 2-1 	W -111 	U 6.5 -105 	J. Reimer 	C. Hart
Dec 28 	awayTeamLogo MON 	L 3-5 	L -147 	O 6 -114 	R. Luongo 	A. Niemi
Dec 23 	awayTeamLogo @ CHI 	W 6-3 	W -106 	O 6 -113 	J. Reimer 	C. Ward
