Date 	VS 	Score 	ML 	O/U 	Goalie 	Opp. Goalie
Oct 30 	awayTeamLogo NJ 	W 8-3 	W -166 	O 5.5 -132 	A. Vasilevskiy 	K. Kinkaid
Oct 27 	awayTeamLogo @ ARI 	L 1-7 	L -116 	O 5.5 -105 	L. Domingue 	A. Raanta
Oct 26 	awayTeamLogo @ VEG 	W 3-2 	W -116 	U 5.5 -103 	A. Vasilevskiy 	M. Fleury
Oct 24 	awayTeamLogo @ COL 	W 1-0 	W -125 	U 6.5 -125 	A. Vasilevskiy 	S. Varlamov
Oct 21 	awayTeamLogo @ CHI 	W 6-3 	W -140 	O 6.5 -110 	L. Domingue 	C. Ward
Oct 20 	awayTeamLogo @ MIN 	L 4-5 (OT) 	L -143 	O 6 100 	A. Vasilevskiy 	A. Stalock
Oct 18 	awayTeamLogo DET 	W 3-1 	W -300 	U 6 100 	A. Vasilevskiy 	J. Howard
Oct 16 	awayTeamLogo CAR 	W 4-2 	W -170 	U 6.5 -105 	L. Domingue 	P. Mrazek
Oct 13 	awayTeamLogo CLB 	W 8-2 	W -170 	O 6 -115 	A. Vasilevskiy 	S. Bobrovsky
Oct 11 	awayTeamLogo VAN 	L 1-4 	L -290 	U 6 106 	A. Vasilevskiy 	A. Nilsson
Oct 6 	awayTeamLogo FLA 	W 2-1 (SO) 	W -185 	U 6 111 	A. Vasilevskiy 	J. Reimer
