Date 	VS 	Score 	ML 	O/U 	Goalie 	Opp. Goalie
Feb 28 	awayTeamLogo TB 	W 4-1 	W -125 	U 6.5 103 	T. Rask 	L. Domingue
Feb 26 	awayTeamLogo SJ 	W 4-1 	W -105 	U 6.5 -105 	J. Halak 	M. Jones
Feb 23 	awayTeamLogo @ STL 	L 1-2 (SO) 	L +114 	U 5.5 -134 	T. Rask 	J. Binnington
Feb 20 	awayTeamLogo @ VEG 	W 3-2 (SO) 	W +122 	U 5.5 -110 	J. Halak 	M. Fleury
Feb 18 	awayTeamLogo @ SJ 	W 6-5 (OT) 	W +127 	O 6 100 	T. Rask 	M. Jones
Feb 16 	awayTeamLogo @ LA 	W 4-2 	W -135 	O 5.5 104 	T. Rask 	J. Campbell
Feb 15 	awayTeamLogo @ ANA 	W 3-0 	W -195 	U 5.5 -132 	J. Halak 	K. Boyle
Feb 12 	awayTeamLogo CHI 	W 6-3 	W -195 	O 6.5 115 	T. Rask 	C. Delia
Feb 10 	awayTeamLogo COL 	W 2-1 (OT) 	W -200 	U 6 -105 	J. Halak 	S. Varlamov
Feb 9 	awayTeamLogo LA 	W 5-4 (OT) 	W -250 	O 5.5 110 	T. Rask 	J. Quick
Feb 6 	awayTeamLogo @ NYR 	L 3-4 (SO) 	L -156 	O 6 100 	J. Halak 	A. Georgiev
Feb 5 	awayTeamLogo NYI 	W 3-1 	W -164 	U 5.5 -120 	T. Rask 	R. Lehner
Feb 3 	awayTeamLogo @ WAS 	W 1-0 	W -105 	U 6 -105 	T. Rask 	B. Holtby
